,UserId,ProductId,Rating,split_index
65,A2H6SFTV2892Z8,1304511138,5.0,0
1036,AAXLAV096NKIL,9790770154,1.0,0
1768,ACCN76JNB28WT,9790790961,5.0,0
307,A30HUW0YSPL6N,6165290582,4.0,0
448,A1AUDV6O35S9DS,9573215926,3.0,0
111,A3SN6TKIXQI7RP,1403790965,5.0,0
1737,A1041053SID37WN8GTT8,9790790961,5.0,0
477,A10205RFE66H1R,974383785X,3.0,0
1705,A2SR9M2CWC2OCP,9790790961,4.0,0
635,A39J2GNAMPZF2W,9788071198,3.0,0
1725,AE45ZH06YKLI5,9790790961,1.0,0
478,A36NPWR62GGB90,9744287233,3.0,0
1189,A5H0JGPPLKTRJ,9790776489,5.0,0
1583,A32K7TR3K1I9YH,9790786964,5.0,0
1821,A1UO6CE0K38J1R,9790792271,5.0,0
1476,A2NQG0GW1HN28T,9790782950,5.0,0
1685,A8KH2GTNAGHHC,979079035X,5.0,0
736,AH7S8WUFHIBIC,9788072100,3.0,0
1183,A6VIJAS6NNKDS,9790776381,5.0,0
810,A13UY6KF3KLR48,9788072348,1.0,0
946,A3UDBOJWNL60SI,9788074286,5.0,0
407,AXG1D956QCMHI,8096399322,5.0,0
1149,A3AW04VA6I847R,9790775024,5.0,0
1876,A2LNJO11PDYEPL,9790794231,5.0,0
1170,A18MCI81UN5SA0,9790776144,3.0,0
213,A22ET3HEUN5JNP,5357955867,2.0,0
179,A1MID7V80H36FX,4057553908,2.0,0
1628,A3Q3AJFOYWWKSM,9790789203,5.0,0
1753,A15ACHDXWFAFTX,9790790961,5.0,0
596,A1TLDR1V4O48PK,9759091062,2.0,0
1937,A2Y6VNNRDPGZT9,979079567X,1.0,0
1210,A3HCAKEKSVETGW,9790777396,5.0,0
35,A2D7CPCZH5VFVZ,1304351475,1.0,0
293,AJ8114KFKVCHX,6053640972,1.0,0
829,A1DGD9AGZNF6O9,978807250X,5.0,0
1426,A1RR12WQMUY17Y,9790781911,4.0,0
761,AQVFWCBC5AXZS,9788072208,2.0,0
1169,A31Q1BMH0AE52Q,9790776098,5.0,0
981,A1QSOTG7XORCGN,978807572X,5.0,0
805,A2KI79THZD6NL1,9788072305,5.0,0
1485,A2A89JZXX5A411,9790783531,5.0,0
1069,A1Z6G0LOBCJQB4,9790771479,5.0,0
1478,A39LXQRVYX1PUI,9790782977,5.0,0
1539,A374U8M2Q5AH03,9790786875,4.0,0
176,AZLE2XFH3JUNG,4057368825,5.0,0
1816,A14VN4BWV9TX82,9790792220,5.0,0
1611,A3M95OVW5AV9HP,9790788207,2.0,0
1906,A37APQOUBHLLXK,9790794509,5.0,0
181,A1CNSLLYW5A8YB,5297000963,5.0,0
816,A3I1T0KEU8YDBY,978807247X,5.0,0
675,A2J7HM7CIZ3CTD,9788071260,3.0,0
1930,A3N5L80QA6SDZ2,9790795416,5.0,0
1589,A2CPTDFIDAA536,9790787286,5.0,0
535,A1HB4DFQC6ZGHW,9747842297,1.0,0
41,A2UEOW698J0SSR,1304351475,5.0,0
710,A19VPNGSJK19PE,9788071813,5.0,0
1786,ACPMKRQ2J368E,9790791100,5.0,0
1815,A1MPLMZ0LO4BPK,9790792220,3.0,0
90,A1RGXKJ4RFIOCX,1304624544,1.0,0
1436,ARPZRPIZ8GCM9,9790782055,1.0,0
1790,A2MR9Q29TQA1CU,9790791240,5.0,0
308,A9E7CTWB6KFTK,6165290582,1.0,0
1582,AEW5YLADIT98X,9790786964,5.0,0
1534,A12BXW0ZBGJQCE,9790786522,5.0,0
330,A2P0254ZZ42ZOJ,7535842801,5.0,0
783,A11SDECT20DPAB,9788072216,5.0,0
1427,A3VV07X7U50NRN,9790781911,1.0,0
289,A38L32Q21P5T95,604113449X,5.0,0
1838,APKXM6D9NZ36T,9790792646,5.0,0
1025,A9EPRATZ1GW1F,9788081053,5.0,0
1158,A23303YJ03VIXL,9790775261,5.0,0
523,A2UW1YLL8TKAVZ,9746427962,5.0,0
232,A24662VRPFY4YK,5357955948,4.0,0
1512,A3QKDORRJ9YFDF,9790784848,1.0,0
1742,A2J9469C2BM1P1,9790790961,1.0,0
487,A1R2MKM2YT5ND0,974619187X,5.0,0
1799,A3KGHP9D3XFI0U,979079178X,3.0,0
1291,A3VR0CEH83GC99,9790778872,5.0,0
48,AH344ZAN5GNOM,1304482685,5.0,0
455,A35QQ9Z0YSBPUR,9601420347,5.0,0
1801,A88TYTTYEFM0D,9790791798,1.0,0
932,A1PI3FNO5WDWT8,9788073840,4.0,0
897,AFCD4K00EGXOB,9788073476,4.0,0
789,A1E0IC983BZ9T5,9788072216,5.0,0
1190,AEXT8OH19RD9F,9790776489,5.0,0
218,A1XD9BN1CBR8U4,5357955905,5.0,0
1386,AQ89MBN197X9A,979078127X,5.0,0
215,A2C55XULIQ3F8I,5357955867,4.0,0
1956,A2ZZRM68X3NR1E,9790797567,5.0,0
126,A3OQ3FVYBU7SBD,1879187396,5.0,0
1488,A31AJPV2XK30MG,979078354X,5.0,0
113,A2FTLN4PYZE7S6,1403790965,5.0,0
961,A25RLARPMG0V4Q,9788074367,4.0,0
272,A2ME4DLS0Q488W,6022600790,5.0,0
359,A1R3PGXKL7EZSJ,7806397051,5.0,0
1910,A1CJCWROJKLNNW,9790794509,5.0,0
665,A34FMN6PYDDU6V,978807121X,5.0,0
363,A1GX3Y7VXYG6TH,7806397051,1.0,0
782,APYRY5W5KPXN7,9788072216,5.0,0
1626,AQ1VKINMLDC23,9790789157,5.0,0
1659,AX5G1RGCO7MYM,9790789890,2.0,0
758,A3UN53B7B5WV5X,9788072208,1.0,0
797,A3I0LI9N8KSNHG,9788072216,5.0,0
1959,AGQYTDWVMRTJF,9790797567,5.0,0
1299,A3BJTQN6T7UYI8,9790779283,5.0,0
1800,A191033US7V9HZ,979079178X,5.0,0
12,AVOGV98AYOFG2,1304146537,5.0,0
498,A2WTWKGP9WES1Q,9746427962,1.0,0
1376,A2UVMZD9I4ZN5G,979078127X,5.0,0
1268,A3D1X00Y1RDY77,9790778309,5.0,0
1356,A2D9TG73ZDPA01,9790781075,5.0,0
436,A12K9YFOYOXHAJ,9511181564,5.0,0
1115,A332JM04UGCD99,9790773463,5.0,0
562,A328HZ1HAUPEY9,9749377397,5.0,0
266,A86RECWKC0IKS,6022600790,5.0,0
1879,A9KTCQEF9Y4T6,9790794231,5.0,0
526,A1BFS260JO9TZJ,9746427962,5.0,0
612,AB4OYPWGHYAPO,9759091062,1.0,0
969,A1X8IHGTV6UAUA,9788074995,3.0,0
639,A2XTD715SMBVX3,9788071198,5.0,0
352,A3CI83124O6ZP1,7806397051,1.0,0
1894,ASLNW5TPXJ6M6,9790794495,3.0,0
1540,A4QCXE5EZHACV,9790786875,5.0,0
1128,A1FK1X14UEHRH2,9790773749,5.0,0
471,APKFDTZU2MX0K,9742496811,5.0,0
1339,A39GDKGADFO40R,9790780532,5.0,0
124,A95YCV8FK2LCM,1572671203,4.0,0
550,A72QEHDVRNTBC,9748776093,4.0,0
1032,A1HSQHFM8V63BF,9789820615,4.0,0
531,A1EGRLCSMRGOOX,9746427962,4.0,0
907,ABRMU6JBX6RBG,9788073514,5.0,0
257,A2Z1MC0VM2SCZ7,602260074X,5.0,0
800,A1XJSB99WXLB11,9788072216,4.0,0
1795,AY4PXJ9PDETE4,9790791402,5.0,0
295,A2U1PYP2Q7BUB2,6117043058,1.0,0
1954,A18MA2KOOVU5WL,9790797079,5.0,0
937,A25M5BYKVESDFV,9788073859,5.0,0
1211,A29CRATAEI66P5,9790777396,1.0,0
554,A31TGG4GXEBG0Q,9748776093,4.0,0
1855,A3I6LYIAVLSUQ0,9790793294,5.0,0
508,A2ZMU9L93JSFSR,9746427962,5.0,0
481,A1JLP1MLTJZPJ7,9745343412,5.0,0
335,A249F9ZBJ3ZDIA,7539914718,1.0,0
1939,APX9VVN0JLYX3,9790795823,5.0,0
118,A22L53OZ7IDQX3,1412759676,5.0,0
1325,A39ZWMCGVYMZRW,9790779968,5.0,0
972,AR1K8G3CGD1QI,9788075584,5.0,0
991,A1UMLOFY7DN2Z6,9788078885,5.0,0
713,AIQMY3PN8ZF9,9788071813,5.0,0
1227,A3TLZJVX40WJOV,9790777949,5.0,0
771,ATO4SYWWBB1QX,9788072216,5.0,0
1087,ATIRQXBP4EI6A,9790772238,5.0,0
1135,A2JVOKZG094NU8,9790774443,5.0,0
1140,A1E7VFQXWR6PZL,979077480X,3.0,0
1679,A2N6ETR8GQUFG4,9790790341,5.0,0
1294,AYB66VHHXKRQQ,9790778872,5.0,0
82,AJ85OD05LNNUY,1304622657,2.0,0
565,A3A36DP9IJPRPF,9749377397,5.0,0
1780,A3CDQTVTXZPKU7,9790790996,3.0,0
854,A2E3A2RVDKR771,9788072895,5.0,0
642,A2MD9XAN2I6SE5,9788071198,1.0,0
975,A1I0UF9XDVW6LS,9788075622,1.0,0
376,A25K4CSIYN1OLB,7883633309,4.0,0
624,A3KK59I1TY3MRB,9788071171,5.0,0
1945,A3GU3CXHONZJQ6,979079634X,5.0,0
1049,A1F3O7497UYRUV,9790770871,5.0,0
1269,A1JYB44V9JVXS7,9790778309,5.0,0
1691,A1B83QH6KBUB52,979079052X,4.0,0
194,A15ELVI3I6G1SQ,535795531X,5.0,0
852,A2K3J2X8KDY47N,9788072895,5.0,0
1319,A1H2RD4UOB9FCZ,9790779968,4.0,0
1044,A1ESDW5VX6B73Q,9790770758,5.0,0
1239,A3ESW3WPPVQTP3,9790778309,5.0,0
1117,A5663WRAL9LZ7,9790773463,4.0,0
794,AOKIUG9H8I8KU,9788072216,2.0,0
343,A293VWKAL1RWBG,7806397051,5.0,0
1288,A3L0FMG4YBBBIT,9790778872,4.0,0
845,A26VOR2AJIQACH,9788072569,5.0,0
1001,A3JRZEM49Z26XF,9788079970,5.0,0
482,A123AJQJYJY5Z5,974619187X,4.0,0
701,A2SZCH2I05ZETG,9788071597,4.0,0
1832,A25HLKXB2XOUI4,9790792573,1.0,0
347,A60XNB876KYML,7806397051,3.0,0
403,A17U6P3YQISHYH,8096399322,5.0,0
679,A2T2Y8FW0NLILV,9788071260,5.0,0
244,A7SVI5Q1WC3UP,6022600685,5.0,0
1664,AIBXA658NM3J3,9790789939,4.0,0
1061,ASDYXS80RUUO0,9790771002,4.0,0
1415,A2IO4D1MN67JMZ,9790781687,5.0,0
1878,A28DQF01VXVK41,9790794231,5.0,0
14,AVOGV98AYOFG2,1304168522,5.0,0
1520,A116PL4YWHVXST,9790785755,1.0,0
1508,ACKIUW9R1FUOH,9790784414,5.0,0
817,A3VEAEI9YT0GN6,978807247X,4.0,0
490,A18U3OPGXGQSMO,974619187X,5.0,0
1492,A2TJHFOSMTEGXH,979078354X,5.0,0
408,ATWTNXM6WNV5N,8096399322,5.0,0
1951,A1MJ8M4U5RK39I,9790796722,1.0,0
1473,A3PTZFRD34YJ2P,9790782780,3.0,0
1265,A2FBSNHDOGYASX,9790778309,5.0,0
625,A3UQXHI88S7XAX,978807118X,5.0,0
1179,A17NX3HYUUGR98,9790776292,5.0,0
971,A1ZOSGXEP5AB8N,9788075509,2.0,0
1776,A2O3PRUSPHXS6D,9790790988,3.0,0
1686,A2637P59FJ47VT,979079035X,4.0,0
950,A1OCZ3L1AYALDL,9788074359,5.0,0
1450,A68333QQF4G44,9790782667,5.0,0
606,A6F8KH0J1AVYA,9759091062,5.0,0
1688,AF7UW6L8OIKS7,9790790392,5.0,0
1243,A2D7PHQ6ZERRFC,9790778309,5.0,0
371,A6P7VX90EVIKI,7806397051,5.0,0
1559,AT1Z8TCLB54UZ,9790786948,5.0,0
1563,A2MOEW84ZKIC3Q,9790786948,1.0,0
265,A2WDW3VRWKRRWV,6022600790,4.0,0
1201,AC6GHPEJPZVLL,9790777272,5.0,0
1205,ANMLUD0CWX6NR,9790777272,5.0,0
38,A2YFDS6DYGFLVQ,1304351475,5.0,0
1031,A3CMSS365AM46L,9789820615,5.0,0
275,AL4XKV2S6IXQS,6022600812,5.0,0
964,A3A1U6WSSNW70X,9788074421,5.0,0
843,A1OUIKYDQEFYLD,9788072569,1.0,0
574,A3LMILRM9OC3SA,9759091062,2.0,0
1532,A8I9PHTN4ZCIW,9790786328,5.0,0
1671,AGEQF74TX4FVA,9790789939,5.0,0
1729,A6CJE7TJ4YITG,9790790961,5.0,0
1176,A3VELSUPKZW1OI,9790776241,5.0,0
941,A3A36DP9IJPRPF,9788074049,5.0,0
1165,A1Z2217U6E72RW,9790775741,4.0,0
442,AQXX46012LVOT,9511181564,5.0,0
1728,A196KXSYPHF6RL,9790790961,5.0,0
1615,A34FBQ1MC46SIB,9790788614,5.0,0
1818,A1CI63P473W5RJ,9790792220,5.0,0
55,A2H6SFTV2892Z8,1304511073,5.0,0
1905,A2FS3KPY657OKL,9790794509,5.0,0
1536,A1913I7ZN2E5RO,9790786727,5.0,0
17,AKGB62WGF35J8,1304174778,5.0,0
1573,A8LLTMM3G6ARE,9790786948,5.0,0
80,AO5JB67V93FBL,1304622622,5.0,0
1901,A28QVC3RK6K1BM,9790794509,5.0,0
1578,A3HPFJWZ2K29YQ,9790786948,5.0,0
1298,AIT4269KMWY4S,9790779097,5.0,0
1487,A3AWLZEPWC0YVC,979078354X,5.0,0
818,A1R4UG6BNDBBOL,978807247X,5.0,0
1334,ACTD54C8DSVIU,9790780001,5.0,0
200,A18X2IP46I5JB8,535795545X,5.0,0
1106,A1FFN2X53EMZNW,9790773412,5.0,0
931,A36FXHSXME1KHM,9788073840,5.0,0
863,A3JQ6K6HMGJ1UJ,978807328X,5.0,0
1833,A16TCWLOEE8OO3,9790792573,5.0,0
781,A3UQXHI88S7XAX,9788072216,5.0,0
1823,A1F6DUG4PS0M39,9790792271,5.0,0
1704,A397XQ5IRA1P1C,9790790880,5.0,0
747,A29UK7GM2HXMIE,9788072119,5.0,0
86,A22ZFXQE8AWPEP,1304622665,1.0,0
651,A45MRF677Z7PX,9788071198,1.0,0
1845,AF92AFPF06THK,9790792891,1.0,0
1807,A2GCUM04Q1HRFJ,9790791984,5.0,0
1283,ABTT6H84FBNS9,9790778872,5.0,0
1138,A3SYPIB569VQ35,9790774516,5.0,0
551,ABODWS6KT9V1W,9748776093,3.0,0
1202,A2GWY01R7H21UV,9790777272,4.0,0
872,A2OABXN4XL95EZ,9788073409,1.0,0
418,A22P8CW9NVJ49H,8901110814,1.0,0
1547,A2HAW2UKEVXWFK,9790786875,5.0,0
1584,A3MAR1FLDY1AMT,9790786964,5.0,0
1145,AQ9QSP7TSXWMO,979077480X,2.0,0
822,A10SBRHY5Z8FT3,978807247X,5.0,0
1310,A18XCWEDZFN7P2,979077995X,5.0,0
909,A1LI7U7O30ZTS0,9788073514,5.0,0
163,A2F5SHIP4HF9,3292000971,5.0,0
432,AZGGH4GS18RUN,9502737628,4.0,0
1338,AAGYLJZDWGWVM,9790780516,5.0,0
168,A11Q1HQ84F8POH,4057362797,1.0,0
125,AP57TEKK91CIM,1572671203,5.0,0
11,AIFAAVTUYHEHB,130414643X,4.0,0
1735,A3NY3QBENKY8ZL,9790790961,5.0,0
1035,A1TFQ2STVBDBUT,9790770138,4.0,0
628,A3I1F82WEKU6PG,9788071198,5.0,0
364,A3S0E0QE8XYMAK,7806397051,5.0,0
320,A3C5DYTUXUCL0S,7535842801,5.0,0
597,A2PHMQ53HYJX5E,9759091062,5.0,0
1048,AVMNS3FP7YMU3,9790770839,5.0,0
1232,A3U5MEOOBYMK61,9790778260,5.0,0
1287,A2DPE7NXS4OQJ9,9790778872,5.0,0
613,A2SIAYDK7GG7QA,9759091062,3.0,0
117,A1GIXQUBPA0DPT,1412759676,5.0,0
342,A6SS3B6BFQ5KX,7806397051,3.0,0
1594,A283R67Y0JHGIJ,9790787510,5.0,0
1016,A3Q3PRW1YR3Q3Q,9788080855,4.0,0
765,A8QGU7RYBF5VY,9788072208,5.0,0
647,A1XQFWZJBKLEER,9788071198,5.0,0
1052,A1S0YCERQMTLWX,9790770898,5.0,0
607,A2MMRRW7920RM,9759091062,5.0,0
1481,A3T3Q3VDIP04AD,9790783167,5.0,0
506,A2KG1LYT548UFB,9746427962,5.0,0
768,A1T4QM0WQZ23L9,9788072208,5.0,0
1181,A1THPD9J4BV1ME,9790776349,5.0,0
1566,A30E3IAHISA83K,9790786948,4.0,0
920,A18IG4QUWXM3EK,9788073840,5.0,0
1241,A2H14Y58BZG4JH,9790778309,5.0,0
1783,ATDND5AKC5726,9790791038,5.0,0
229,AEWKMTITVR260,5357955948,5.0,0
571,A1296LFHAMDOYP,9756518081,5.0,0
957,A1FEU7BZ9KIN0G,9788074359,5.0,0
51,A6R426V4J7AOM,1304488608,5.0,0
1445,A3LZWJIARRIKCM,9790782381,5.0,0
1784,A13RAFXJ5C7S44,9790791054,5.0,0
228,A39GFZUNMWJ44J,5357955948,5.0,0
496,A14IT4G4FZFEP6,9746427962,5.0,0
1175,AO3EOJXASL2KH,9790776241,4.0,0
1934,A281VHR3ZR99C8,9790795602,5.0,0
1209,A39BFQVNCXKIN5,9790777396,5.0,0
409,A32O109KR1IFX7,8279995404,1.0,0
1013,A3E3ZSEKGWFUGZ,9788080634,1.0,0
895,A2W4RS26XT2O1S,9788073476,5.0,0
978,A13ZNKJNVW0ZWZ,9788075630,5.0,0
632,A3HMLMXJ5YQURK,9788071198,5.0,0
1416,A2ZJFE0SWXF3ZR,9790781687,1.0,0
1101,A1K0G3T86YMLCN,9790773161,5.0,0
1764,AN6TKRFOXPHDX,9790790961,5.0,0
1757,A2QS079JVW5I9K,9790790961,5.0,0
1944,AR93Q5VWD8MWS,9790796293,1.0,0
269,AGQ844D0UXGBF,6022600790,5.0,0
880,A3FZMX1TWGZBN2,9788073409,5.0,0
1134,A1CIGI2TSUCYUY,9790774397,5.0,0
1406,A3DMR9FL5H6SJN,9790781687,5.0,0
268,A2TSBFY4ZZIMXW,6022600790,1.0,0
1902,A36JVL59KG2HH1,9790794509,5.0,0
793,A2EK2CJNJUF7OQ,9788072216,5.0,0
1574,A20HG060M1DZCG,9790786948,3.0,0
375,A1SNMU6VFTJKQI,7883527428,4.0,0
1726,AY4VKPJK1Q68D,9790790961,1.0,0
1038,A3OMRT3JNDDHU8,9790770308,1.0,0
524,A3QJSZDRC4DXB9,9746427962,5.0,0
1186,A3HQ5QK9B5S2UA,9790776403,5.0,0
1440,A34KPW0IBSL3ZQ,9790782306,5.0,0
7,A22VW0P4VZHDE3,1304139220,5.0,0
1493,A2VQW2CU0XL9X1,9790783647,5.0,0
1870,A2BPIUUZHG6BKE,9790794231,5.0,0
844,A15X79PP60MX8I,9788072569,1.0,0
57,A2F6NPTGDMFXN9,1304511073,1.0,0
1240,A3MWXVCR95RPQY,9790778309,5.0,0
476,A3RCCDL4Y1XZDJ,9742496811,5.0,0
674,A2E9OLOQRK7M8T,9788071260,4.0,0
42,A22ZFXQE8AWPEP,1304482596,1.0,0
1708,A2NQQDBBGFW1OT,9790790961,5.0,0
1489,A525O40Q3XE0L,979078354X,5.0,0
664,ABH3MVCY6IGA9,978807121X,1.0,0
1150,A3S7MD1Y2P5ZU,9790775156,2.0,0
993,A3S5CEM6TF7I8S,9788078893,1.0,0
799,A2EPPFVDAIDQSI,9788072216,3.0,0
681,A3GFGEY12ATN4G,9788071465,5.0,0
1068,AMWWXJA8PUX1U,9790771444,5.0,0
116,A1VK4ALI1QOF5U,1412759676,4.0,0
616,A2K8SAFPHOJSG9,9788071074,5.0,0
772,A1QV5IH6HDRN0L,9788072216,5.0,0
593,AJAT0Z7G78AKG,9759091062,5.0,0
1754,A3S25AE2ATYISE,9790790961,2.0,0
1525,A1DZYFR9UENUT7,9790786069,5.0,0
1985,A6Q85ZRASFTKX,9790798075,5.0,0
503,A13W8KHF7Y1S51,9746427962,5.0,0
1914,A1ZN3JNW7QDAYX,9790794665,1.0,0
1144,A2MW7SK362PEQC,979077480X,5.0,0
1797,A3BMLD4VGMJGJ3,979079147X,5.0,0
282,A3V6ZQWSMLRXEJ,6041134473,5.0,0
256,AH9GYBKL6KJOF,602260074X,4.0,0
148,A1ZWS1H6H06Y2J,3227001381,5.0,0
1733,A3T666MUEEYCSS,9790790961,5.0,0
584,APBQH4BS48CQO,9759091062,3.0,0
198,A13IIHXY0QX4Y4,535795531X,3.0,0
1803,A1T66OG2NQ835,9790791798,5.0,0
1644,AXQDDGADNZNNG,9790789556,5.0,0
543,AA51P4U4RMPQE,9748776093,3.0,0
1802,A1XJX7W7HC35D8,9790791798,5.0,0
727,A1D6EV5BKMM8OU,9788072097,5.0,0
1359,A20KZWGD9SLWBY,9790781105,4.0,0
936,A3D6VUXMZD4MFJ,9788073859,5.0,0
233,A3S87ZOPB3UM9N,5357955972,5.0,0
151,A2H79ANDK766S1,3227001381,4.0,0
1011,A2EDV2NPKN69YM,9788080626,4.0,0
1020,A2H8Z04RWXZQ85,9788080928,5.0,0
742,AXBF3OLBP9QP6,9788072119,5.0,0
1858,A2U583VJW1XN83,9790793839,5.0,0
285,A1NRLEB0KOB65O,604113449X,5.0,0
1523,A1LQUFK4VHJ2OP,9790785755,2.0,0
81,A1GWD6BDCLGC82,1304622622,1.0,0
951,A1YPM4GCO8I1W1,9788074359,4.0,0
1260,AL89HJRSN6P06,9790778309,5.0,0
1923,A1D16VVFX7MDKA,9790794991,3.0,0
18,A22VW0P4VZHDE3,1304174867,5.0,0
137,A10REFE1TW3ZVT,3227001381,5.0,0
1081,ANJZ5ZHBL3IW7,9790771983,5.0,0
757,A2V37AQ1VOMBH0,9788072208,4.0,0
1340,ANCW2IEN2G28D,9790780532,5.0,0
1405,A1H3AGKVENVM0P,9790781687,5.0,0
777,A1JZTT5WQU8O26,9788072216,5.0,0
439,A264BXIV14DIWA,9511181564,4.0,0
1309,A26ZG5TVUDN5NP,979077995X,5.0,0
1104,A3PYK302AW6T5G,9790773412,5.0,0
